Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2024-09-19";"00:00 - 00:15";15250;15459.833;"2025-02-02 19:51"
"2024-09-19";"00:15 - 00:30";15050;15227.615;"2025-02-02 19:51"
"2024-09-19";"00:30 - 00:45";14900;14961.631;"2025-02-02 19:51"
"2024-09-19";"00:45 - 01:00";14750;14803.142;"2025-02-02 19:51"
"2024-09-19";"01:00 - 01:15";14600;14780.198;"2025-02-02 19:51"
"2024-09-19";"01:15 - 01:30";14500;14512.561;"2025-02-02 19:51"
"2024-09-19";"01:30 - 01:45";14350;14578.801;"2025-02-02 19:51"
"2024-09-19";"01:45 - 02:00";14250;14235.929;"2025-02-02 19:51"
"2024-09-19";"02:00 - 02:15";14200;14142.249;"2025-02-02 19:51"
"2024-09-19";"02:15 - 02:30";14200;14111.98;"2025-02-02 19:51"
"2024-09-19";"02:30 - 02:45";14200;14182.228;"2025-02-02 19:51"
"2024-09-19";"02:45 - 03:00";14200;14204.738;"2025-02-02 19:51"
"2024-09-19";"03:00 - 03:15";14200;14082.744;"2025-02-02 19:51"
"2024-09-19";"03:15 - 03:30";14200;14301.03;"2025-02-02 19:51"
"2024-09-19";"03:30 - 03:45";14200;14240.242;"2025-02-02 19:51"
"2024-09-19";"03:45 - 04:00";14300;14284.107;"2025-02-02 19:51"
"2024-09-19";"04:00 - 04:15";14400;14396.68;"2025-02-02 19:51"
"2024-09-19";"04:15 - 04:30";14500;14539.316;"2025-02-02 19:51"
"2024-09-19";"04:30 - 04:45";14650;14686.654;"2025-02-02 19:51"
"2024-09-19";"04:45 - 05:00";14750;14788.402;"2025-02-02 19:51"
"2024-09-19";"05:00 - 05:15";15050;15246.139;"2025-02-02 19:51"
"2024-09-19";"05:15 - 05:30";15200;15393.509;"2025-02-02 19:51"
"2024-09-19";"05:30 - 05:45";15350;15654.494;"2025-02-02 19:51"
"2024-09-19";"05:45 - 06:00";15850;15930.515;"2025-02-02 19:51"
"2024-09-19";"06:00 - 06:15";17150;17112.217;"2025-02-02 19:51"
"2024-09-19";"06:15 - 06:30";17650;17711.45;"2025-02-02 19:51"
"2024-09-19";"06:30 - 06:45";18150;18079.146;"2025-02-02 19:51"
"2024-09-19";"06:45 - 07:00";18600;18657.73;"2025-02-02 19:51"
"2024-09-19";"07:00 - 07:15";18950;19206.559;"2025-02-02 19:51"
"2024-09-19";"07:15 - 07:30";19250;19286.783;"2025-02-02 19:51"
"2024-09-19";"07:30 - 07:45";19500;19543.406;"2025-02-02 19:51"
"2024-09-19";"07:45 - 08:00";19700;19570.596;"2025-02-02 19:51"
"2024-09-19";"08:00 - 08:15";19950;19802.686;"2025-02-02 19:51"
"2024-09-19";"08:15 - 08:30";20000;20039.068;"2025-02-02 19:51"
"2024-09-19";"08:30 - 08:45";20000;20101.832;"2025-02-02 19:51"
"2024-09-19";"08:45 - 09:00";20000;20201.977;"2025-02-02 19:51"
"2024-09-19";"09:00 - 09:15";20000;20055.73;"2025-02-02 19:51"
"2024-09-19";"09:15 - 09:30";19800;19946.719;"2025-02-02 19:51"
"2024-09-19";"09:30 - 09:45";19700;19874.674;"2025-02-02 19:51"
"2024-09-19";"09:45 - 10:00";19400;19286.514;"2025-02-02 19:51"
"2024-09-19";"10:00 - 10:15";19250;18971.996;"2025-02-02 19:51"
"2024-09-19";"10:15 - 10:30";19250;19313.66;"2025-02-02 19:51"
"2024-09-19";"10:30 - 10:45";19300;19542.096;"2025-02-02 19:51"
"2024-09-19";"10:45 - 11:00";19300;19486.2;"2025-02-02 19:51"
"2024-09-19";"11:00 - 11:15";19300;19377.312;"2025-02-02 19:51"
"2024-09-19";"11:15 - 11:30";19300;19431.129;"2025-02-02 19:51"
"2024-09-19";"11:30 - 11:45";19300;19378.96;"2025-02-02 19:51"
"2024-09-19";"11:45 - 12:00";19300;19296.914;"2025-02-02 19:51"
"2024-09-19";"12:00 - 12:15";19250;18690.906;"2025-02-02 19:51"
"2024-09-19";"12:15 - 12:30";19250;18653.79;"2025-02-02 19:51"
"2024-09-19";"12:30 - 12:45";19250;18874.83;"2025-02-02 19:51"
"2024-09-19";"12:45 - 13:00";19300;18806.402;"2025-02-02 19:51"
"2024-09-19";"13:00 - 13:15";19350;18887.703;"2025-02-02 19:51"
"2024-09-19";"13:15 - 13:30";19300;19155.514;"2025-02-02 19:51"
"2024-09-19";"13:30 - 13:45";19050;18396.914;"2025-02-02 19:51"
"2024-09-19";"13:45 - 14:00";18900;18080.328;"2025-02-02 19:51"
"2024-09-19";"14:00 - 14:15";19200;18088.094;"2025-02-02 19:51"
"2024-09-19";"14:15 - 14:30";19400;18575.98;"2025-02-02 19:51"
"2024-09-19";"14:30 - 14:45";19450;18390.78;"2025-02-02 19:51"
"2024-09-19";"14:45 - 15:00";19500;18609.76;"2025-02-02 19:51"
"2024-09-19";"15:00 - 15:15";19550;18639.088;"2025-02-02 19:51"
"2024-09-19";"15:15 - 15:30";19650;18828.572;"2025-02-02 19:51"
"2024-09-19";"15:30 - 15:45";19800;19042.97;"2025-02-02 19:51"
"2024-09-19";"15:45 - 16:00";19900;19398.35;"2025-02-02 19:51"
"2024-09-19";"16:00 - 16:15";19900;19562.451;"2025-02-02 19:51"
