Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2024-12-19";"00:00 - 00:15";16700;16667.02;"2025-02-02 19:55"
"2024-12-19";"00:15 - 00:30";16450;16287.013;"2025-02-02 19:55"
"2024-12-19";"00:30 - 00:45";16250;16286.91;"2025-02-02 19:55"
"2024-12-19";"00:45 - 01:00";16050;16106.741;"2025-02-02 19:55"
"2024-12-19";"01:00 - 01:15";15800;16129.812;"2025-02-02 19:55"
"2024-12-19";"01:15 - 01:30";15650;16096.546;"2025-02-02 19:55"
"2024-12-19";"01:30 - 01:45";15500;15990.329;"2025-02-02 19:55"
"2024-12-19";"01:45 - 02:00";15450;15882.791;"2025-02-02 19:55"
"2024-12-19";"02:00 - 02:15";15450;15772.046;"2025-02-02 19:55"
"2024-12-19";"02:15 - 02:30";15450;15753.193;"2025-02-02 19:55"
"2024-12-19";"02:30 - 02:45";15450;15795.541;"2025-02-02 19:55"
"2024-12-19";"02:45 - 03:00";15450;15772.681;"2025-02-02 19:55"
"2024-12-19";"03:00 - 03:15";15450;15906.703;"2025-02-02 19:55"
"2024-12-19";"03:15 - 03:30";15450;16048.471;"2025-02-02 19:55"
"2024-12-19";"03:30 - 03:45";15550;15967.335;"2025-02-02 19:55"
"2024-12-19";"03:45 - 04:00";15650;16121.837;"2025-02-02 19:55"
"2024-12-19";"04:00 - 04:15";15750;16205.046;"2025-02-02 19:55"
"2024-12-19";"04:15 - 04:30";15850;16386.836;"2025-02-02 19:55"
"2024-12-19";"04:30 - 04:45";15950;16434.742;"2025-02-02 19:55"
"2024-12-19";"04:45 - 05:00";16100;16768.754;"2025-02-02 19:55"
"2024-12-19";"05:00 - 05:15";16500;16884.295;"2025-02-02 19:55"
"2024-12-19";"05:15 - 05:30";16900;17001.143;"2025-02-02 19:55"
"2024-12-19";"05:30 - 05:45";17300;17344.312;"2025-02-02 19:55"
"2024-12-19";"05:45 - 06:00";18000;17878.656;"2025-02-02 19:55"
"2024-12-19";"06:00 - 06:15";19100;18979.834;"2025-02-02 19:55"
"2024-12-19";"06:15 - 06:30";19800;19502.084;"2025-02-02 19:55"
"2024-12-19";"06:30 - 06:45";20400;20094.285;"2025-02-02 19:55"
"2024-12-19";"06:45 - 07:00";20900;20794.031;"2025-02-02 19:55"
"2024-12-19";"07:00 - 07:15";21400;21255.156;"2025-02-02 19:55"
"2024-12-19";"07:15 - 07:30";21650;21088.086;"2025-02-02 19:55"
"2024-12-19";"07:30 - 07:45";21800;21228.174;"2025-02-02 19:55"
"2024-12-19";"07:45 - 08:00";22000;21529.414;"2025-02-02 19:55"
"2024-12-19";"08:00 - 08:15";22300;21842.781;"2025-02-02 19:55"
"2024-12-19";"08:15 - 08:30";22400;21918.074;"2025-02-02 19:55"
