Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2024-07-19";"00:00 - 00:15";15950;16016.862;"2025-02-02 19:49"
"2024-07-19";"00:15 - 00:30";15700;15704.5;"2025-02-02 19:49"
"2024-07-19";"00:30 - 00:45";15550;15389.292;"2025-02-02 19:49"
"2024-07-19";"00:45 - 01:00";15400;15320.325;"2025-02-02 19:49"
"2024-07-19";"01:00 - 01:15";15250;15203.294;"2025-02-02 19:49"
"2024-07-19";"01:15 - 01:30";15050;14952.837;"2025-02-02 19:49"
"2024-07-19";"01:30 - 01:45";14900;14897.921;"2025-02-02 19:49"
"2024-07-19";"01:45 - 02:00";14750;14671.034;"2025-02-02 19:49"
"2024-07-19";"02:00 - 02:15";14650;14590.007;"2025-02-02 19:49"
"2024-07-19";"02:15 - 02:30";14600;14727.941;"2025-02-02 19:49"
"2024-07-19";"02:30 - 02:45";14550;14603.699;"2025-02-02 19:49"
"2024-07-19";"02:45 - 03:00";14500;14611.835;"2025-02-02 19:49"
"2024-07-19";"03:00 - 03:15";14500;14600.608;"2025-02-02 19:49"
"2024-07-19";"03:15 - 03:30";14500;14622.073;"2025-02-02 19:49"
"2024-07-19";"03:30 - 03:45";14500;14560.488;"2025-02-02 19:49"
"2024-07-19";"03:45 - 04:00";14500;14453.518;"2025-02-02 19:49"
"2024-07-19";"04:00 - 04:15";14500;14548.12;"2025-02-02 19:49"
"2024-07-19";"04:15 - 04:30";14500;14492.892;"2025-02-02 19:49"
"2024-07-19";"04:30 - 04:45";14500;14505.046;"2025-02-02 19:49"
"2024-07-19";"04:45 - 05:00";14600;14544.689;"2025-02-02 19:49"
"2024-07-19";"05:00 - 05:15";14750;14783.915;"2025-02-02 19:49"
"2024-07-19";"05:15 - 05:30";14850;14695.337;"2025-02-02 19:49"
"2024-07-19";"05:30 - 05:45";15200;15000.906;"2025-02-02 19:49"
