Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20240319;1;18055;18140,163
20240319;2;17458;17522,388
20240319;3;17108;17309,150
20240319;4;17205;17329,538
20240319;5;17750;17790,300
20240319;6;19143;18490,263
20240319;7;22186;21032,525
20240319;8;23537;23077,088
20240319;9;23759;23470,025
20240319;10;23636;23218,250
20240319;11;23767;22598,975
20240319;12;23884;22581,275
20240319;13;24052;22366,950
20240319;14;24270;22577,313
20240319;15;23766;22080,475
20240319;16;23656;22203,763
20240319;17;23453;22450,988
20240319;18;24027;23040,788
20240319;19;24245;24003,263
20240319;20;24280;24307,825
20240319;21;23671;23616,575
20240319;22;22316;21922,088
20240319;23;20467;20194,775
20240319;24;19168;18955,225
20240320;1;17769;18116,913
20240320;2;17174;17624,700
20240320;3;16875;17379,838
20240320;4;16974;17481,988
20240320;5;17521;17924,675
20240320;6;18669;18621,413
20240320;7;21558;21099,550
20240320;8;22822;22881,900
20240320;9;23292;23172,900
20240320;10;23184;22893,625
20240320;11;22192;22004,413
20240320;12;21910;21861,588
20240320;13;21933;21873,788
20240320;14;21984;21858,725
20240320;15;21716;21845,188
20240320;16;22037;22070,750
20240320;17;22403;22425,100
20240320;18;23133;22912,513
20240320;19;24002;23947,100
20240320;20;23986;24145,725
20240320;21;23521;23464,400
20240320;22;22258;21752,038
20240320;23;20354;20094,000
20240320;24;19197;18613,975
20240321;1;17554;17591,825
20240321;2;16950;16975,288
20240321;3;16647;16764,575
20240321;4;16742;16923,913
20240321;5;17334;17215,413
20240321;6;18675;18082,838
20240321;7;21511;20505,163
20240321;8;22865;22215,575
20240321;9;23587;22669,650
20240321;10;23558;22304,738
20240321;11;23295;21708,300
20240321;12;23316;21691,938
20240321;13;23494;21705,800
20240321;14;23578;21805,213
20240321;15;22855;21574,375
20240321;16;22837;21975,300
20240321;17;23004;22148,363
20240321;18;23489;22514,588
20240321;19;23952;23381,850
20240321;20;23786;23515,913
20240321;21;23174;22856,625
20240321;22;21975;21280,300
20240321;23;20237;19585,963
20240321;24;18943;18303,025
20240322;1;17505;17284,313
20240322;2;16907;16691,263
20240322;3;16608;16428,200
20240322;4;16711;16514,625
20240322;5;17313;16969,663
20240322;6;18661;17633,850
20240322;7;21535;20082,138
20240322;8;22954;22180,063
20240322;9;23558;23088,250
20240322;10;23512;23056,050
20240322;11;23098;22695,038
20240322;12;23028;22744,500
20240322;13;23107;22575,663
20240322;14;23198;22606,875
20240322;15;22535;22317,300
20240322;16;22481;22369,388
20240322;17;22671;22398,625
20240322;18;23236;22528,425
20240322;19;23749;23181,588
20240322;20;23649;23120,475
20240322;21;23057;22339,650
20240322;22;21875;20927,850
20240322;23;20065;19393,700
20240322;24;18794;18217,713
20240323;1;17263;17211,825
20240323;2;16499;16581,950
20240323;3;16187;16192,175
20240323;4;16173;16051,225
20240323;5;16204;16131,388
20240323;6;16376;16098,613
20240323;7;17367;16910,500
20240323;8;18697;18062,025
20240323;9;19692;19071,275
20240323;10;19976;19524,063
20240323;11;20012;19352,413
20240323;12;19769;19076,588
20240323;13;19443;19060,050
20240323;14;19429;19357,463
20240323;15;18965;19304,388
20240323;16;19158;19317,238
20240323;17;19302;19469,188
20240323;18;20029;19693,188
20240323;19;20465;20427,125
20240323;20;20407;20373,788
20240323;21;19784;19848,688
20240323;22;18955;18781,563
20240323;23;17745;17613,825
20240323;24;16637;16477,988
20240324;1;15680;15387,400
20240324;2;15096;14894,763
20240324;3;14776;14627,225
20240324;4;14808;14444,900
20240324;5;14831;14479,338
20240324;6;15093;14307,350
20240324;7;15519;14826,950
20240324;8;16456;15699,838
20240324;9;17327;16668,925
20240324;10;17982;17138,900
20240324;11;18137;17392,163
20240324;12;18109;17234,950
20240324;13;18179;17308,500
20240324;14;18258;17532,988
20240324;15;18306;17624,700
20240324;16;18208;17193,013
20240324;17;18274;17624,625
20240324;18;18691;18203,838
20240324;19;19796;19317,013
20240324;20;19986;19926,338
20240324;21;19919;19391,863
20240324;22;19051;18392,500
20240324;23;18147;17530,088
20240324;24;17146;16412,325
20240325;1;16147;15659,550
20240325;2;15507;15385,188
20240325;3;15367;15203,138
20240325;4;15525;15284,813
20240325;5;16233;15893,763
20240325;6;18188;16816,488
20240325;7;21280;19571,400
20240325;8;22729;21917,025
20240325;9;23471;22875,825
20240325;10;23615;22856,825
20240325;11;23467;22610,288
20240325;12;23418;22609,313
20240325;13;23537;22630,000
20240325;14;23792;22544,450
20240325;15;23182;21995,113
20240325;16;23101;22218,438
20240325;17;23121;22472,688
20240325;18;23553;22716,225
20240325;19;24259;23826,888
20240325;20;24111;24165,900
20240325;21;23665;23500,950
20240325;22;22218;21908,025
20240325;23;20519;20154,025
20240325;24;19318;18731,350
20240326;1;17966;17738,463
20240326;2;17363;17256,375
20240326;3;17009;17050,663
20240326;4;17053;17103,988
20240326;5;17596;17538,500
20240326;6;18683;18129,038
20240326;7;21512;20609,888
20240326;8;22320;22192,763
20240326;9;22434;22209,400
20240326;10;22116;21795,138
20240326;11;21154;20780,600
20240326;12;21012;20951,463
20240326;13;21023;20263,600
20240326;14;21261;20208,475
20240326;15;20960;20581,888
20240326;16;21052;21325,650
20240326;17;21447;21561,513
20240326;18;22038;21850,250
20240326;19;23234;22759,313
20240326;20;23068;23270,463
20240326;21;22524;22697,325
