Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20231119;1;16304;15903,738
20231119;2;15583;15312,363
20231119;3;15058;14890,788
20231119;4;14882;14802,825
20231119;5;14951;14789,175
20231119;6;15268;15076,963
20231119;7;15637;15392,450
20231119;8;16253;15847,163
20231119;9;17294;16757,700
20231119;10;18155;17727,188
20231119;11;18528;18595,350
20231119;12;18669;19081,913
20231119;13;18829;19520,150
20231119;14;19010;19610,825
20231119;15;19001;19238,675
20231119;16;18984;19234,075
20231119;17;19588;19694,863
20231119;18;19535;19905,613
20231119;19;19535;19907,375
20231119;20;19540;19796,275
20231119;21;19248;19265,888
20231119;22;18460;18330,725
20231119;23;17575;17476,163
20231119;24;16740;16514,900
20231120;1;15863;15737,150
20231120;2;15430;15374,213
20231120;3;15248;15181,850
20231120;4;15569;15196,625
20231120;5;16341;15813,163
20231120;6;18461;17000,225
20231120;7;21580;20184,275
20231120;8;23143;22355,388
20231120;9;24082;23626,188
20231120;10;24215;24018,400
20231120;11;24298;24073,075
20231120;12;24400;24537,388
20231120;13;24620;24575,925
20231120;14;24789;24712,913
20231120;15;24217;24336,438
20231120;16;24193;24326,163
20231120;17;24842;24781,238
20231120;18;24740;24549,675
20231120;19;24235;24176,550
20231120;20;24078;23925,950
20231120;21;23625;23334,263
20231120;22;22424;21890,075
20231120;23;20472;20309,550
20231120;24;19221;18926,575
20231121;1;17928;17881,438
20231121;2;17325;17304,888
20231121;3;16922;17051,050
20231121;4;16972;17070,713
20231121;5;17670;17322,688
20231121;6;19317;18387,813
20231121;7;22115;21295,888
20231121;8;23308;23100,238
20231121;9;24222;24151,825
20231121;10;24180;24535,738
20231121;11;24547;24363,350
20231121;12;24730;24864,788
20231121;13;24732;25170,063
20231121;14;24893;25120,838
20231121;15;24362;24713,225
20231121;16;24430;24707,375
20231121;17;24817;25273,513
20231121;18;24707;25078,450
20231121;19;24059;24770,325
20231121;20;23920;24609,863
20231121;21;23435;24048,425
20231121;22;22302;22442,838
20231121;23;20515;20899,363
20231121;24;19224;19569,500
20231122;1;18162;18549,250
20231122;2;17727;17972,350
20231122;3;17392;17735,738
20231122;4;17455;17715,238
20231122;5;18015;18124,038
20231122;6;19775;19178,550
20231122;7;22635;21941,938
20231122;8;24014;23958,538
20231122;9;24617;25088,900
20231122;10;24567;25412,613
20231122;11;24350;24977,775
20231122;12;24288;25094,988
20231122;13;24508;24997,938
20231122;14;24736;25200,925
20231122;15;24268;24948,763
20231122;16;24830;25001,938
20231122;17;25277;25556,163
20231122;18;25183;25503,450
20231122;19;24535;25016,800
20231122;20;24422;24927,725
20231122;21;23804;24370,838
20231122;22;22491;22694,350
20231122;23;20736;21042,675
20231122;24;19342;19763,663
20231123;1;18028;18508,375
20231123;2;17340;17872,188
20231123;3;16904;17541,313
20231123;4;16870;17430,163
20231123;5;17608;17849,175
20231123;6;19058;18850,150
20231123;7;22008;21515,525
20231123;8;23404;23320,088
20231123;9;24135;24379,900
20231123;10;24313;24671,663
20231123;11;24337;24570,138
20231123;12;24425;24715,925
20231123;13;24531;24800,713
20231123;14;24703;24912,625
20231123;15;24083;24394,625
20231123;16;24156;24396,500
20231123;17;24658;24897,338
20231123;18;24458;24801,463
20231123;19;24058;24299,475
20231123;20;23858;24207,388
20231123;21;23308;23492,613
20231123;22;22058;21964,375
20231123;23;20308;20328,413
20231123;24;18958;18983,713
20231124;1;18008;17997,313
20231124;2;17358;17534,213
20231124;3;17058;17241,488
20231124;4;17108;17232,100
20231124;5;17758;17627,675
20231124;6;19358;18647,200
20231124;7;22258;21220,738
20231124;8;23628;23075,675
20231124;9;24205;23963,988
20231124;10;24194;24013,363
20231124;11;24233;23948,438
20231124;12;24356;24123,838
20231124;13;24426;24263,563
20231124;14;24703;24349,538
20231124;15;24374;24029,013
20231124;16;24543;24306,938
20231124;17;25012;24919,400
20231124;18;24889;24855,513
20231124;19;24367;24417,300
20231124;20;24242;24168,175
20231124;21;23808;23442,400
20231124;22;22571;22051,288
20231124;23;20836;20632,038
20231124;24;19549;19130,263
20231125;1;18228;18185,388
20231125;2;17418;17597,313
20231125;3;16847;17134,825
20231125;4;16722;17005,788
20231125;5;16904;17070,800
20231125;6;17354;17479,213
20231125;7;18469;18465,850
20231125;8;19625;19474,988
20231125;9;20982;20954,738
20231125;10;21619;21917,250
20231125;11;22027;22158,750
20231125;12;22084;22356,638
20231125;13;22010;22363,688
20231125;14;22061;22212,275
20231125;15;21451;21820,125
20231125;16;21735;21963,763
20231125;17;22157;22453,100
20231125;18;21969;22370,175
20231125;19;21531;22063,725
20231125;20;21240;21595,175
20231125;21;20650;20942,025
20231125;22;19756;19802,563
20231125;23;18756;18828,775
20231125;24;17450;17728,388
20231126;1;16394;16680,800
20231126;2;15780;16108,925
20231126;3;15216;15770,513
20231126;4;15061;15510,900
20231126;5;15215;15637,200
20231126;6;15520;15823,200
20231126;7;15870;16238,413
20231126;8;16705;16721,375
20231126;9;17654;17900,938
20231126;10;18407;18897,925
20231126;11;19008;19456,838
20231126;12;19244;19785,125
20231126;13;19272;20021,500
20231126;14;19373;20137,163
20231126;15;19323;19972,525
20231126;16;19941;19930,175
20231126;17;20414;20603,213
20231126;18;20417;20729,000
20231126;19;20431;20756,825
20231126;20;20448;20858,263
20231126;21;20069;20321,600
20231126;22;19244;19499,413
20231126;23;18269;18754,363
20231126;24;17440;17831,838
20231127;1;16488;17031,588
20231127;2;16154;16621,000
20231127;3;15967;16448,125
20231127;4;16178;16498,825
20231127;5;16940;16931,200
20231127;6;19300;18464,350
20231127;7;22510;21662,925
20231127;8;24110;23822,400
20231127;9;25031;25138,750
20231127;10;25089;25645,888
20231127;11;25066;25421,113
20231127;12;25135;25594,950
20231127;13;25225;25628,700
20231127;14;25439;25592,713
20231127;15;25130;25200,663
20231127;16;25369;25442,438
20231127;17;25913;26078,800
20231127;18;25899;25903,388
20231127;19;25387;25501,550
20231127;20;25377;25309,650
20231127;21;25070;24638,088
20231127;22;23712;23097,888
20231127;23;21904;21436,650
20231127;24;20594;20047,713
20231128;1;19147;18926,450
20231128;2;18438;18433,813
20231128;3;17979;18230,100
20231128;4;18018;18294,475
20231128;5;18556;18661,988
20231128;6;20299;19574,788
20231128;7;23248;22409,775
20231128;8;24745;24521,963
20231128;9;25459;25743,463
20231128;10;25573;26390,688
20231128;11;25441;26480,450
20231128;12;25474;26795,075
20231128;13;25545;26772,363
20231128;14;25780;26687,125
20231128;15;25424;26142,075
20231128;16;25568;26241,988
20231128;17;25959;26665,313
20231128;18;25953;26502,388
20231128;19;25450;26138,488
20231128;20;25349;25865,338
20231128;21;24948;25175,550
20231128;22;23646;23568,213
20231128;23;21942;21937,063
20231128;24;20584;20628,188
20231129;1;19310;19551,913
20231129;2;18604;18986,013
20231129;3;18144;18653,400
20231129;4;18235;18665,288
20231129;5;18884;19065,925
20231129;6;20538;20069,875
20231129;7;23494;22848,400
20231129;8;24888;24831,588
20231129;9;25657;25956,000
20231129;10;25634;26395,863
20231129;11;25400;26332,325
20231129;12;25406;26377,613
20231129;13;25639;26137,613
20231129;14;25715;26154,775
20231129;15;25439;25926,038
20231129;16;25809;26015,413
20231129;17;26098;26461,950
20231129;18;26079;26300,538
20231129;19;25466;25855,825
20231129;20;25359;25624,675
20231129;21;24958;24971,938
20231129;22;23613;23376,375
20231129;23;21871;21787,238
20231129;24;20531;20460,600
20231130;1;19461;19395,913
