Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20240119;1;19448;19228,013
20240119;2;18923;18637,725
20240119;3;18553;18422,588
20240119;4;18634;18426,450
20240119;5;19266;18828,850
20240119;6;20748;19698,575
20240119;7;23980;22442,225
20240119;8;24957;24291,175
20240119;9;25689;25494,775
20240119;10;25795;26181,650
20240119;11;25792;25990,888
20240119;12;25763;26342,300
20240119;13;25672;26206,525
20240119;14;26051;26216,538
20240119;15;25545;25511,938
20240119;16;25336;25264,650
20240119;17;26220;25564,538
20240119;18;26210;25925,038
20240119;19;25742;25437,788
20240119;20;25522;25296,325
20240119;21;24898;24399,138
20240119;22;23776;22856,550
20240119;23;21805;21303,175
20240119;24;20536;19941,613
20240120;1;19094;18852,900
20240120;2;18234;18177,238
20240120;3;17673;17802,250
20240120;4;17462;17803,425
20240120;5;17649;17921,163
20240120;6;17938;18107,450
20240120;7;19129;18963,663
20240120;8;20012;19875,913
20240120;9;21341;21232,738
20240120;10;21996;22619,000
20240120;11;22353;23007,863
20240120;12;22360;23225,300
20240120;13;22297;22900,425
20240120;14;22340;22473,350
20240120;15;21777;21786,825
20240120;16;21610;21639,825
20240120;17;22582;22043,575
20240120;18;22632;22306,375
20240120;19;22431;22101,263
20240120;20;22222;21799,663
20240120;21;21708;21358,600
20240120;22;20738;20254,300
20240120;23;19616;19290,325
20240120;24;18592;18202,150
20240121;1;17334;17082,388
20240121;2;16659;16441,938
20240121;3;16279;16049,588
20240121;4;16090;15912,900
20240121;5;16093;15973,188
20240121;6;16382;16178,038
20240121;7;16907;16691,188
20240121;8;17216;17225,325
20240121;9;18231;18274,200
20240121;10;19103;19290,600
20240121;11;19660;19896,125
20240121;12;19738;19836,850
20240121;13;19831;19476,775
20240121;14;19970;19349,975
20240121;15;19614;19036,025
20240121;16;19324;19123,900
20240121;17;20389;19640,613
20240121;18;20561;20359,875
20240121;19;20594;20546,313
20240121;20;20540;20611,188
20240121;21;20195;20234,788
20240121;22;19457;19364,200
20240121;23;18626;18600,363
20240121;24;17645;17534,688
20240122;1;16723;16673,050
20240122;2;16110;16401,550
20240122;3;15836;16138,288
20240122;4;16109;16267,425
20240122;5;16884;16820,138
20240122;6;18961;18091,775
20240122;7;22451;21326,700
20240122;8;23792;23366,325
20240122;9;24799;24313,113
20240122;10;24976;24589,588
20240122;11;25094;24629,438
20240122;12;25300;24902,900
20240122;13;25439;25017,263
20240122;14;25784;25045,963
20240122;15;25085;24651,825
20240122;16;24682;24593,738
20240122;17;25551;24970,288
20240122;18;25551;25031,600
20240122;19;25151;24579,313
20240122;20;25008;24340,863
20240122;21;24513;23697,300
20240122;22;23216;22224,488
20240122;23;21319;20640,100
20240122;24;20027;19371,163
20240123;1;18616;18433,375
20240123;2;17930;17910,863
20240123;3;17541;17639,750
20240123;4;17551;17603,513
20240123;5;18205;17924,825
20240123;6;19800;18898,638
20240123;7;23041;21639,725
20240123;8;24078;23612,663
20240123;9;24895;24308,863
20240123;10;25016;24640,188
20240123;11;25111;24435,900
20240123;12;25113;24876,775
20240123;13;25215;24797,375
20240123;14;25462;24745,125
20240123;15;24772;24418,700
20240123;16;24452;24269,388
20240123;17;25250;24773,700
20240123;18;25253;25037,538
20240123;19;24762;24772,025
20240123;20;24676;24493,938
20240123;21;24250;23880,000
20240123;22;22987;22308,463
20240123;23;21172;20665,925
20240123;24;19938;19409,125
20240124;1;18684;18350,888
20240124;2;18006;17850,613
20240124;3;17421;17620,575
20240124;4;17435;17576,675
20240124;5;18051;18087,500
20240124;6;19651;19038,850
20240124;7;22751;21630,738
20240124;8;23800;23510,538
20240124;9;24690;24544,863
20240124;10;24863;25134,213
20240124;11;24926;25014,825
20240124;12;24934;25181,825
20240124;13;25003;24771,050
20240124;14;25198;24822,838
20240124;15;24657;24294,750
20240124;16;24335;24032,050
20240124;17;25099;24438,575
20240124;18;25101;24642,988
20240124;19;24651;24303,375
20240124;20;24551;24131,575
20240124;21;24101;23289,425
20240124;22;22851;21860,050
20240124;23;21001;20192,200
20240124;24;19751;19000,913
20240125;1;18551;18063,275
20240125;2;17851;17500,938
20240125;3;17351;17219,550
20240125;4;17401;17245,438
20240125;5;18001;17587,050
20240125;6;19401;18518,488
20240125;7;22701;21241,063
20240125;8;23801;23054,863
20240125;9;24694;24133,088
20240125;10;24922;24578,888
20240125;11;25007;24394,200
20240125;12;25055;24514,400
20240125;13;25069;24643,000
20240125;14;25296;24696,913
20240125;15;24639;24112,375
20240125;16;24353;24002,175
20240125;17;25247;24417,500
20240125;18;25325;24706,725
20240125;19;24855;24529,663
20240125;20;24739;24325,475
20240125;21;24376;23699,513
20240125;22;23310;22330,563
20240125;23;21539;20814,900
20240125;24;20216;19497,025
20240126;1;18800;18421,475
20240126;2;18125;17983,425
20240126;3;17798;17589,150
20240126;4;17874;17692,888
20240126;5;18606;18000,725
20240126;6;20088;19086,188
20240126;7;23413;21695,275
20240126;8;24427;23562,575
20240126;9;25286;24525,838
20240126;10;25372;24897,825
20240126;11;25304;24598,950
20240126;12;25285;24971,675
20240126;13;25213;24975,500
20240126;14;25399;25053,888
20240126;15;24784;24456,675
20240126;16;24373;24142,450
20240126;17;25195;24451,925
20240126;18;25135;24685,613
20240126;19;24581;24398,650
20240126;20;24395;24155,013
20240126;21;23866;23574,788
20240126;22;22685;21757,888
20240126;23;20911;20273,300
20240126;24;19651;19108,388
20240127;1;18465;18099,025
20240127;2;17661;17448,538
20240127;3;17258;17115,225
20240127;4;17207;16971,063
20240127;5;17462;17025,600
20240127;6;17773;17137,213
20240127;7;19040;18003,525
20240127;8;19911;18876,325
20240127;9;21459;20058,338
20240127;10;22236;21134,888
20240127;11;22709;21687,475
20240127;12;22743;22027,200
20240127;13;22603;22135,863
20240127;14;22601;21931,113
20240127;15;21875;21549,250
20240127;16;21565;21150,550
20240127;17;22435;21238,725
20240127;18;22518;21730,238
20240127;19;22294;21430,988
20240127;20;22064;21064,538
20240127;21;21535;20467,925
20240127;22;20560;19400,138
20240127;23;19534;18432,788
20240127;24;18402;17223,488
20240128;1;17149;16248,050
20240128;2;16473;15710,063
20240128;3;15940;15335,525
20240128;4;15707;15147,475
20240128;5;15882;15204,575
20240128;6;16157;15540,250
20240128;7;16724;16122,613
20240128;8;17340;16486,350
20240128;9;18679;17474,838
20240128;10;19735;18492,038
20240128;11;19990;19092,013
20240128;12;20263;19374,525
20240128;13;20197;19639,988
20240128;14;20167;19870,313
20240128;15;19768;19548,413
20240128;16;19484;19288,775
20240128;17;20766;19650,788
20240128;18;20987;20356,013
20240128;19;21049;20469,200
20240128;20;21012;20387,325
20240128;21;20728;19944,750
20240128;22;19896;18897,150
20240128;23;18967;18085,588
20240128;24;17990;17225,050
20240129;1;16314;16369,000
20240129;2;15878;15890,825
20240129;3;15795;15748,013
20240129;4;15828;15785,600
20240129;5;16394;16257,875
20240129;6;17930;17720,700
20240129;7;21370;20815,750
20240129;8;23036;22882,475
20240129;9;24242;23759,200
20240129;10;24483;23834,338
20240129;11;23951;22943,800
20240129;12;23848;22664,213
20240129;13;23211;22596,925
20240129;14;22715;22607,213
20240129;15;22855;22647,338
20240129;16;23034;23040,875
20240129;17;24647;23746,750
20240129;18;24754;24335,288
20240129;19;24273;24142,213
20240129;20;24484;23978,200
20240129;21;23758;23385,738
20240129;22;22046;21777,263
20240129;23;20652;20204,225
20240129;24;19298;18953,525
20240130;1;18437;18017,450
20240130;2;17755;17477,938
20240130;3;17320;17243,650
20240130;4;17482;17291,513
20240130;5;18142;17740,863
20240130;6;19650;18809,363
20240130;7;22707;21533,538
20240130;8;24033;23336,300
20240130;9;24560;23717,825
20240130;10;24406;23509,575
20240130;11;24453;22848,850
20240130;12;24446;22714,950
20240130;13;24493;22840,475
20240130;14;24679;22851,888
20240130;15;24209;22840,963
20240130;16;24049;23110,350
20240130;17;24984;23702,325
20240130;18;24947;24196,300
20240130;19;24509;23947,225
20240130;20;24433;23825,388
20240130;21;23916;23119,438
20240130;22;22505;21738,763
20240130;23;20950;20298,338
20240130;24;19598;18903,138
20240131;1;18261;17953,288
20240131;2;17558;17434,913
20240131;3;17102;17148,663
20240131;4;17243;17082,463
20240131;5;17888;17418,050
20240131;6;19432;18425,225
20240131;7;22471;21110,563
20240131;8;23697;23023,025
20240131;9;24380;24070,188
20240131;10;24335;24467,988
20240131;11;24352;24546,750
20240131;12;24420;24710,438
20240131;13;24478;24732,600
20240131;14;24664;24823,663
20240131;15;24222;24236,063
20240131;16;23848;24059,613
20240131;17;24517;24428,413
20240131;18;24579;24776,050
20240131;19;24273;24391,975
20240131;20;24206;24256,863
20240131;21;23781;23535,063
20240131;22;22355;21997,525
20240131;23;20730;20472,413
20240131;24;19461;19091,975
20240201;1;18032;18105,600
20240201;2;17307;17603,125
20240201;3;16835;17302,900
20240201;4;16915;17307,263
20240201;5;17550;17652,988
20240201;6;19089;18716,150
20240201;7;22278;21105,175
20240201;8;23523;23125,200
20240201;9;24244;23978,863
20240201;10;24207;24281,200
20240201;11;24351;24435,238
20240201;12;24377;24605,600
20240201;13;24468;24740,625
20240201;14;24653;24555,538
20240201;15;24162;24133,125
20240201;16;23820;23855,475
20240201;17;24237;24115,100
20240201;18;24301;24594,313
20240201;19;24001;24410,125
20240201;20;23951;24238,100
20240201;21;23551;23511,075
20240201;22;22151;22023,988
20240201;23;20551;20418,700
20240201;24;19325;19140,563
20240202;1;18181;18128,388
20240202;2;17500;17563,100
20240202;3;17062;17179,538
20240202;4;17166;17283,163
20240202;5;17825;17591,800
20240202;6;19444;18463,550
20240202;7;22722;21150,013
20240202;8;24144;22921,063
20240202;9;24811;23659,700
20240202;10;24924;23692,425
20240202;11;25015;23393,775
20240202;12;25117;23536,800
20240202;13;25267;23536,225
20240202;14;25440;23693,375
20240202;15;24871;23577,800
20240202;16;24499;23523,413
20240202;17;24688;23914,488
20240202;18;24647;24079,425
20240202;19;24263;23972,750
20240202;20;24101;23741,950
