Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20240419;1;17086;17250,825
20240419;2;16473;16662,238
20240419;3;16007;16477,138
20240419;4;16097;16544,800
20240419;5;16743;17007,438
20240419;6;17797;17638,263
20240419;7;20917;19980,275
20240419;8;21948;21725,025
20240419;9;22403;22323,200
20240419;10;22225;21965,850
20240419;11;21885;21507,463
20240419;12;21836;21690,225
20240419;13;21853;21666,563
20240419;14;21747;21386,163
20240419;15;21030;21054,625
20240419;16;21112;21446,838
20240419;17;21117;21382,325
20240419;18;21254;21634,275
20240419;19;21568;22027,913
20240419;20;22620;22457,338
20240419;21;22655;22483,263
20240419;22;21735;21130,063
20240419;23;19623;19516,800
20240419;24;18256;18259,250
20240420;1;17148;17262,363
20240420;2;16528;16587,288
20240420;3;16114;16182,938
20240420;4;16054;15940,488
20240420;5;16047;15989,263
20240420;6;16740;16030,675
20240420;7;17913;16847,850
20240420;8;18987;17826,063
20240420;9;19982;18807,175
20240420;10;19962;19559,838
20240420;11;19892;19839,188
20240420;12;19826;19953,950
20240420;13;19667;19838,913
20240420;14;19364;19654,638
20240420;15;18936;19157,575
20240420;16;18739;18852,663
20240420;17;18738;18687,225
20240420;18;18858;18880,788
20240420;19;19347;19144,475
20240420;20;20248;19492,950
20240420;21;20274;19885,038
20240420;22;19486;19092,275
20240420;23;18101;17887,638
20240420;24;16803;16528,513
20240421;1;16208;15498,500
20240421;2;15557;14810,313
20240421;3;15103;14373,638
20240421;4;14848;14288,863
20240421;5;14696;14287,938
20240421;6;14793;14129,975
20240421;7;15564;14446,125
20240421;8;16452;15378,200
20240421;9;17195;16498,113
20240421;10;17881;17370,525
20240421;11;18488;17795,963
20240421;12;18425;18107,638
20240421;13;18423;18404,013
20240421;14;18430;18430,750
20240421;15;18239;18027,650
20240421;16;18067;17574,263
20240421;17;18044;17322,900
20240421;18;18341;17615,700
20240421;19;18794;17936,713
20240421;20;20025;18506,925
20240421;21;20049;18860,913
20240421;22;19464;18312,263
20240421;23;18641;17566,488
20240421;24;17508;16464,500
20240422;1;16449;15560,738
20240422;2;15965;15104,163
20240422;3;15677;14987,838
20240422;4;15730;15060,288
20240422;5;16278;15588,475
20240422;6;17925;16438,813
20240422;7;21092;19407,425
20240422;8;22475;21748,688
20240422;9;22881;22698,838
20240422;10;22736;23098,250
20240422;11;22675;23089,050
20240422;12;22659;23162,763
20240422;13;22663;23016,338
20240422;14;22710;22821,200
20240422;15;22292;22558,363
20240422;16;22182;22631,688
20240422;17;22190;22560,450
20240422;18;22151;22418,100
20240422;19;22403;22458,888
20240422;20;23378;23086,038
20240422;21;23496;23582,725
20240422;22;22552;22269,800
20240422;23;20408;20404,075
20240422;24;18960;19097,813
20240423;1;17563;18092,513
20240423;2;16967;17435,863
20240423;3;16670;17209,713
20240423;4;16722;17247,863
20240423;5;17322;17640,825
20240423;6;18420;18185,900
20240423;7;21216;20573,163
20240423;8;22556;22266,625
20240423;9;22818;22680,213
20240423;10;22633;22494,625
20240423;11;22045;22036,100
20240423;12;21970;21672,363
20240423;13;21949;21603,825
20240423;14;22025;21336,950
20240423;15;21625;21102,538
20240423;16;21545;21097,600
20240423;17;21550;21295,113
20240423;18;21688;21645,313
20240423;19;22248;21895,538
20240423;20;23207;22594,850
20240423;21;23297;23023,463
20240423;22;22175;21608,213
20240423;23;20109;19819,150
20240423;24;18743;18359,763
20240424;1;17500;17286,363
20240424;2;16893;16732,900
20240424;3;16590;16409,600
20240424;4;16637;16455,800
20240424;5;17234;16835,200
20240424;6;18384;17460,088
20240424;7;21207;20033,325
20240424;8;22635;22217,100
20240424;9;23100;23112,750
20240424;10;23081;22851,900
20240424;11;23136;22381,913
20240424;12;23142;22423,450
20240424;13;23169;22377,813
20240424;14;23191;22558,513
20240424;15;22622;22177,850
20240424;16;22474;22198,288
20240424;17;22319;22122,913
20240424;18;22081;22006,938
20240424;19;22531;22195,413
20240424;20;23110;22589,813
20240424;21;23213;22913,300
20240424;22;22118;21673,550
20240424;23;20080;19879,613
20240424;24;18737;18603,275
20240425;1;17540;17571,250
20240425;2;17145;16913,213
20240425;3;16946;16631,950
20240425;4;16995;16728,050
20240425;5;17594;17129,975
20240425;6;18744;17724,000
20240425;7;21558;20187,838
20240425;8;22726;21993,838
20240425;9;22962;22491,138
20240425;10;22793;22128,213
20240425;11;22682;21631,013
20240425;12;22690;21692,025
20240425;13;22655;21519,163
20240425;14;22633;20918,600
20240425;15;21968;20591,088
20240425;16;22001;20691,913
20240425;17;22024;20767,150
20240425;18;21944;21262,588
20240425;19;22431;21344,638
20240425;20;23188;22203,263
20240425;21;23246;22904,975
20240425;22;22387;21729,950
20240425;23;20326;20009,200
20240425;24;18914;18572,875
20240426;1;17410;17565,238
20240426;2;16603;16998,225
20240426;3;16201;16712,575
20240426;4;16357;16751,713
20240426;5;16866;17153,563
20240426;6;18221;17756,400
20240426;7;21160;20024,025
20240426;8;22349;21727,413
20240426;9;22498;22002,450
20240426;10;22190;21465,675
20240426;11;21429;20816,963
20240426;12;21302;20587,050
20240426;13;21243;21157,700
20240426;14;21402;21021,825
20240426;15;21019;20317,788
20240426;16;20910;20811,500
20240426;17;20954;20880,250
20240426;18;21127;21147,550
20240426;19;21563;21237,675
20240426;20;22267;21605,325
20240426;21;22501;22055,325
20240426;22;21602;20820,788
20240426;23;19207;19022,763
20240426;24;17869;17774,038
20240427;1;16753;16844,850
20240427;2;15900;16263,575
20240427;3;15363;15763,113
20240427;4;15334;15679,800
20240427;5;15355;15707,913
20240427;6;15119;15497,800
20240427;7;16483;16241,200
20240427;8;17561;17345,838
20240427;9;18440;18370,963
20240427;10;18384;18530,025
20240427;11;18087;18160,388
20240427;12;17967;18429,800
20240427;13;17745;18789,000
20240427;14;17496;18693,638
20240427;15;17152;17778,625
20240427;16;17229;17625,625
20240427;17;17417;17282,750
20240427;18;17574;17732,338
20240427;19;17829;17925,200
20240427;20;18306;18367,375
20240427;21;18687;18837,288
20240427;22;18106;18009,413
20240427;23;16722;16757,888
20240427;24;15407;15603,500
20240428;1;14309;14607,600
20240428;2;13666;14015,650
20240428;3;13380;13713,675
20240428;4;13191;13582,150
20240428;5;13194;13508,000
20240428;6;13035;13228,050
20240428;7;13716;13617,163
20240428;8;14509;14624,300
20240428;9;15317;15606,700
20240428;10;15673;15711,063
20240428;11;15455;16255,838
20240428;12;15290;16348,213
20240428;13;15227;16180,213
20240428;14;15212;16175,200
20240428;15;14982;16144,238
20240428;16;14951;16597,100
20240428;17;15077;16550,925
20240428;18;15339;16608,325
20240428;19;15857;17041,138
20240428;20;16580;17539,125
20240428;21;17285;17933,963
20240428;22;17039;17300,725
20240428;23;16089;16381,400
20240428;24;15042;15288,425
20240429;1;14128;14511,213
20240429;2;13597;14132,500
20240429;3;13416;14100,713
20240429;4;13540;14136,225
20240429;5;13819;14542,650
20240429;6;15496;15117,350
20240429;7;18470;17447,913
20240429;8;19902;19448,075
20240429;9;20222;20270,288
20240429;10;20015;19856,913
20240429;11;19572;19670,775
20240429;12;19433;19807,313
20240429;13;19205;20013,888
20240429;14;19275;19961,863
20240429;15;19233;19543,763
20240429;16;19365;19638,400
20240429;17;19613;19966,750
20240429;18;19825;20557,225
20240429;19;20231;20698,038
20240429;20;20752;20981,650
20240429;21;21310;21213,625
20240429;22;20765;20103,113
20240429;23;18705;18359,825
20240429;24;17445;16879,488
20240430;1;16181;15849,863
20240430;2;15589;15254,463
20240430;3;15194;14941,613
20240430;4;15242;15039,038
20240430;5;15339;15267,163
20240430;6;16284;15507,175
20240430;7;19222;17664,575
20240430;8;20522;19384,438
20240430;9;20732;19877,738
20240430;10;20424;19440,200
20240430;11;19877;19078,850
20240430;12;19732;19196,538
20240430;13;19719;19220,000
20240430;14;19702;19082,950
20240430;15;19318;18768,250
20240430;16;19611;19058,938
20240430;17;19788;19350,813
20240430;18;20066;19761,888
20240430;19;20118;20169,038
20240430;20;20453;19964,513
20240430;21;20900;19938,138
20240430;22;20252;18950,675
20240430;23;18709;17190,975
20240430;24;17370;15765,188
20240501;1;15447;14847,138
20240501;2;14576;14466,113
20240501;3;14157;14006,250
20240501;4;13980;13945,163
