Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20240219;1;15750;15929,150
20240219;2;15292;15477,488
20240219;3;14995;15232,375
20240219;4;15260;15269,025
20240219;5;15979;15689,763
20240219;6;17998;17062,238
20240219;7;21215;19961,925
20240219;8;22653;22118,125
20240219;9;23373;23344,700
20240219;10;23401;23908,113
20240219;11;23583;23714,925
20240219;12;23870;24319,950
20240219;13;24115;24768,538
20240219;14;24369;24303,088
20240219;15;23632;23664,113
20240219;16;23346;23304,788
20240219;17;23500;23221,225
20240219;18;23850;23604,700
20240219;19;23810;23610,850
20240219;20;23767;23490,825
20240219;21;23271;22963,013
20240219;22;22074;21349,250
20240219;23;20331;19866,688
20240219;24;19042;18703,413
20240220;1;17623;17586,025
20240220;2;17076;17104,488
20240220;3;16775;16884,550
20240220;4;16773;16828,625
20240220;5;17428;17297,925
20240220;6;18933;18321,800
20240220;7;21892;20817,250
20240220;8;22935;22420,725
20240220;9;23474;23531,863
20240220;10;23402;23729,663
20240220;11;23347;23566,738
20240220;12;23314;23786,525
20240220;13;23362;23761,713
20240220;14;23556;23686,750
20240220;15;22957;23311,913
20240220;16;22659;23092,550
20240220;17;23206;23112,363
20240220;18;23953;23875,338
20240220;19;23819;23970,363
20240220;20;23782;23736,813
20240220;21;23295;23153,850
20240220;22;22206;21646,413
20240220;23;20408;20092,575
20240220;24;19103;18599,850
20240221;1;17893;17662,450
20240221;2;17339;17132,813
20240221;3;17032;16877,913
20240221;4;17025;16899,313
20240221;5;17663;17339,350
20240221;6;19139;18272,950
20240221;7;21856;20590,425
20240221;8;22899;22196,763
20240221;9;23511;22881,150
20240221;10;23421;22784,975
20240221;11;23343;22890,288
20240221;12;23438;23430,450
20240221;13;23507;23475,888
20240221;14;23657;23538,600
20240221;15;23154;23059,938
20240221;16;23076;22935,538
20240221;17;23412;23169,025
20240221;18;23904;23716,700
20240221;19;23777;23642,325
20240221;20;23740;23439,000
20240221;21;23202;22826,850
20240221;22;22163;21371,863
20240221;23;20370;19751,500
20240221;24;19123;18547,463
20240222;1;17613;17572,838
20240222;2;17060;17034,800
20240222;3;16753;16772,325
20240222;4;16745;16653,463
20240222;5;17332;17116,438
20240222;6;18813;18195,625
20240222;7;21592;20460,400
20240222;8;22745;22093,800
20240222;9;23560;22943,863
20240222;10;23495;23132,000
20240222;11;23549;22739,675
20240222;12;23782;23068,550
20240222;13;23946;23174,575
20240222;14;24168;23549,925
20240222;15;23465;23005,025
20240222;16;23265;22900,575
20240222;17;23242;22733,750
20240222;18;23673;23313,925
20240222;19;23488;23496,038
20240222;20;23414;23296,575
20240222;21;22849;22697,450
20240222;22;21779;21164,013
20240222;23;19952;19525,175
20240222;24;18677;18233,675
20240223;1;17250;17175,100
20240223;2;16638;16640,688
20240223;3;16281;16389,525
20240223;4;16384;16354,325
20240223;5;16994;16793,088
20240223;6;18669;17712,325
20240223;7;21364;20077,688
20240223;8;22610;21804,013
20240223;9;23257;22880,400
20240223;10;23250;23282,488
20240223;11;23507;22957,138
20240223;12;23668;23395,575
20240223;13;23696;23630,850
20240223;14;23744;23458,900
20240223;15;23201;23070,700
