Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20240519;1;14842;14556,675
20240519;2;14151;14018,875
20240519;3;13750;13524,388
20240519;4;13600;13266,688
20240519;5;13498;12919,588
20240519;6;13079;12760,800
20240519;7;13891;13292,913
20240519;8;14988;14130,663
20240519;9;15491;15065,363
20240519;10;15864;15379,550
20240519;11;15986;15325,888
20240519;12;16063;15580,338
20240519;13;16072;15656,338
20240519;14;16138;15494,850
20240519;15;15982;15600,625
20240519;16;15987;15844,075
20240519;17;15938;15900,200
20240519;18;16488;16686,363
20240519;19;17059;16886,763
20240519;20;17625;17160,750
20240519;21;17953;17366,000
20240519;22;17949;17413,313
20240519;23;16998;16406,138
20240519;24;15751;15324,875
20240520;1;14476;14460,713
20240520;2;13915;14039,188
20240520;3;13799;13780,813
20240520;4;13869;13857,725
20240520;5;14058;13996,038
20240520;6;14878;14678,300
20240520;7;17876;17827,613
20240520;8;19802;19821,463
20240520;9;20464;20557,238
20240520;10;20428;20580,713
20240520;11;20170;20167,963
20240520;12;20477;20918,725
20240520;13;20618;20935,138
20240520;14;20557;20687,288
20240520;15;20386;20514,988
20240520;16;20543;20360,338
20240520;17;20747;20887,338
20240520;18;21078;21185,613
20240520;19;21365;21476,800
20240520;20;21478;21656,963
20240520;21;21536;21556,525
20240520;22;20905;20822,088
20240520;23;19156;19035,088
20240520;24;17654;17425,463
20240521;1;16653;16207,163
20240521;2;15856;15555,388
20240521;3;15362;15305,863
20240521;4;15366;15350,650
20240521;5;15416;15319,250
20240521;6;16747;15898,863
20240521;7;19593;18633,125
20240521;8;20677;20748,800
20240521;9;20793;21149,888
20240521;10;20550;20866,413
20240521;11;20228;20246,663
20240521;12;20381;20243,275
20240521;13;20522;20424,575
20240521;14;20765;20498,563
20240521;15;20577;20445,500
20240521;16;20493;20615,900
20240521;17;20743;20595,000
20240521;18;21124;20702,838
20240521;19;21484;20957,325
20240521;20;21562;21365,263
20240521;21;21590;21406,563
20240521;22;21396;20623,950
20240521;23;19492;18928,388
20240521;24;17891;17401,300
20240522;1;16524;16121,088
20240522;2;15780;15607,450
20240522;3;15283;15237,775
20240522;4;15286;15168,488
20240522;5;15290;15115,538
20240522;6;16583;15640,638
20240522;7;19381;18174,263
20240522;8;20521;20203,150
20240522;9;20763;20980,875
20240522;10;20524;20860,863
20240522;11;20295;20512,738
20240522;12;20645;20793,125
20240522;13;20664;20885,675
20240522;14;20760;20852,213
20240522;15;20549;20863,725
20240522;16;20945;21359,575
20240522;17;21261;21533,650
20240522;18;21547;21287,925
20240522;19;21733;21224,438
20240522;20;21746;21563,613
20240522;21;21629;21823,350
20240522;22;21529;21067,138
20240522;23;19739;19391,063
20240522;24;18234;17873,388
20240523;1;16575;16682,563
20240523;2;15830;16051,988
20240523;3;15341;15675,513
20240523;4;15350;15710,538
20240523;5;15353;15756,988
20240523;6;16637;16364,713
20240523;7;19679;18870,388
20240523;8;20858;20843,400
20240523;9;21028;21432,650
20240523;10;20906;21627,425
20240523;11;20295;21252,200
20240523;12;20449;21540,813
20240523;13;20463;21430,875
20240523;14;20465;21275,938
20240523;15;20146;21115,313
20240523;16;20485;21544,588
20240523;17;20992;21285,900
20240523;18;21270;21238,463
20240523;19;21438;21163,225
20240523;20;21561;21729,025
20240523;21;21557;21903,600
20240523;22;21460;21292,213
20240523;23;19663;19568,025
20240523;24;18160;18030,388
20240524;1;16732;16902,600
20240524;2;15982;16280,050
20240524;3;15482;15889,838
20240524;4;15481;15871,900
20240524;5;15481;15762,525
20240524;6;16763;16452,375
20240524;7;19883;18845,088
20240524;8;21061;20569,788
20240524;9;21206;21352,413
20240524;10;20997;21160,025
20240524;11;20400;20761,150
20240524;12;20568;20741,188
20240524;13;20582;20605,825
20240524;14;20583;20900,975
20240524;15;20300;21079,150
20240524;16;20677;21181,400
20240524;17;21087;21184,488
20240524;18;21366;21029,013
20240524;19;21542;20967,675
20240524;20;21640;21284,088
20240524;21;21452;21151,163
20240524;22;21333;20398,388
20240524;23;19533;18871,388
20240524;24;18031;17618,625
20240525;1;16627;16442,025
20240525;2;15830;15752,088
20240525;3;15290;15312,013
20240525;4;15151;15173,800
20240525;5;14863;14961,838
20240525;6;14811;14855,700
20240525;7;16490;15693,125
20240525;8;17708;16964,050
20240525;9;18149;18139,438
20240525;10;18177;18452,875
20240525;11;18264;18268,663
20240525;12;18467;18230,638
20240525;13;18614;18052,338
20240525;14;18682;17889,288
20240525;15;17988;17558,113
20240525;16;17919;17809,800
20240525;17;18089;17822,363
20240525;18;18249;18147,500
20240525;19;18409;18096,525
20240525;20;18662;18283,688
20240525;21;18696;18466,825
20240525;22;18443;18354,313
20240525;23;17391;17344,813
20240525;24;16141;16035,838
20240526;1;14814;14742,725
20240526;2;14219;14182,525
20240526;3;13672;13727,975
20240526;4;13373;13501,563
20240526;5;13221;13139,038
20240526;6;12900;12968,588
20240526;7;13662;13203,525
20240526;8;14721;14191,300
20240526;9;15155;15125,500
20240526;10;15370;15581,063
20240526;11;15487;15683,688
20240526;12;15496;15595,825
20240526;13;15467;15786,363
20240526;14;15500;16090,688
20240526;15;15377;15961,925
20240526;16;15597;16019,363
20240526;17;15824;15906,163
20240526;18;16570;16493,838
20240526;19;17107;17202,125
20240526;20;17422;17499,938
20240526;21;17588;17429,113
20240526;22;17656;17498,175
20240526;23;16687;16710,600
20240526;24;15521;15508,525
20240527;1;14489;14455,688
20240527;2;13980;13991,138
20240527;3;13826;13773,063
20240527;4;13832;13652,950
20240527;5;14040;13718,225
20240527;6;16129;14492,038
20240527;7;19394;17460,513
20240527;8;20616;19722,150
20240527;9;21015;20647,125
20240527;10;20784;20582,638
20240527;11;20345;20071,925
20240527;12;20409;19929,525
20240527;13;20356;19958,200
20240527;14;20398;19560,863
20240527;15;20462;19477,913
20240527;16;20661;19798,600
20240527;17;20900;20404,800
20240527;18;21138;20772,363
20240527;19;21511;20960,300
20240527;20;21640;21520,438
20240527;21;21662;21540,013
20240527;22;21548;20772,425
20240527;23;19691;18914,650
20240527;24;18130;17301,025
20240528;1;16676;16321,338
20240528;2;16018;15663,763
20240528;3;15564;15318,725
20240528;4;15560;15217,188
20240528;5;15857;15075,225
20240528;6;16896;15721,963
20240528;7;19960;18256,088
20240528;8;21020;20346,938
20240528;9;21275;21112,075
20240528;10;21057;20869,913
20240528;11;20580;20597,250
20240528;12;20591;20813,550
20240528;13;20596;20867,538
20240528;14;20652;20818,163
20240528;15;20595;20812,213
20240528;16;20797;20925,263
20240528;17;20993;20876,563
20240528;18;21203;20974,650
20240528;19;21345;21328,038
20240528;20;21763;21744,963
20240528;21;21806;21614,500
20240528;22;21563;20812,213
20240528;23;19669;19289,338
20240528;24;18074;17813,913
20240529;1;16599;16745,325
20240529;2;15908;16125,400
20240529;3;15463;15765,700
20240529;4;15471;15692,463
20240529;5;15478;15765,825
20240529;6;16916;16484,450
20240529;7;20041;18816,938
20240529;8;21116;20425,613
20240529;9;21420;21087,763
20240529;10;21214;21095,963
20240529;11;20852;20796,238
20240529;12;20778;20467,013
20240529;13;20749;20539,438
20240529;14;20879;20101,900
20240529;15;20658;19806,063
20240529;16;20888;20162,725
20240529;17;21075;20637,313
20240529;18;21153;20632,113
20240529;19;21275;20653,288
20240529;20;21600;20918,188
20240529;21;21487;21065,675
20240529;22;21079;20523,513
20240529;23;19268;18843,113
20240529;24;17659;17300,338
20240530;1;16407;16104,775
20240530;2;15512;15330,350
