Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20231019;1;16731;17189,825
20231019;2;16265;16458,288
20231019;3;15797;16140,375
20231019;4;15876;16181,488
20231019;5;16554;16529,838
20231019;6;18234;17462,963
20231019;7;21166;20282,938
20231019;8;22233;22078,713
20231019;9;22703;22886,963
20231019;10;22732;22868,988
20231019;11;22505;22531,888
20231019;12;22489;22859,063
20231019;13;22643;22940,013
20231019;14;22748;23103,338
20231019;15;22237;22780,075
20231019;16;22114;22579,613
20231019;17;22030;22493,575
20231019;18;22120;22801,063
20231019;19;23037;23388,388
20231019;20;22916;23313,850
20231019;21;22508;22645,163
20231019;22;21200;21120,788
20231019;23;19195;19451,200
20231019;24;17940;18001,613
20231020;1;16961;16861,525
20231020;2;16362;16370,613
20231020;3;15911;16057,663
20231020;4;16103;16131,500
20231020;5;16691;16277,063
20231020;6;18181;17214,675
20231020;7;21217;20030,250
20231020;8;22294;21796,038
20231020;9;22798;22688,675
20231020;10;22690;23093,738
20231020;11;22429;23080,425
20231020;12;22466;23357,700
20231020;13;22486;23310,188
20231020;14;22539;23289,663
20231020;15;22105;22811,025
20231020;16;21978;22621,600
20231020;17;21848;22407,575
20231020;18;22210;22763,350
20231020;19;23014;23198,238
20231020;20;22864;23043,725
20231020;21;22364;22249,475
20231020;22;21214;20668,188
20231020;23;19464;19204,050
20231020;24;18025;18025,475
20231021;1;16681;16849,863
20231021;2;16006;16089,200
20231021;3;15536;15669,338
20231021;4;15473;15602,675
20231021;5;15664;15647,850
20231021;6;16110;15842,175
20231021;7;17057;16840,188
20231021;8;18245;17684,775
20231021;9;19393;18984,913
20231021;10;19899;19888,600
20231021;11;19818;20172,238
20231021;12;19740;19948,438
20231021;13;19697;19671,475
20231021;14;19534;19291,088
20231021;15;19060;18657,825
20231021;16;18985;18787,200
20231021;17;19015;18979,650
20231021;18;19913;19378,613
20231021;19;20274;20271,275
20231021;20;20111;20094,300
20231021;21;19563;19540,713
20231021;22;18426;18302,300
20231021;23;17238;17192,563
20231021;24;16101;16057,400
20231022;1;14527;15026,863
20231022;2;13885;14516,263
20231022;3;13439;14027,000
20231022;4;13188;13897,888
20231022;5;13279;14021,813
20231022;6;13718;14231,113
20231022;7;14454;14724,050
20231022;8;15435;14924,225
20231022;9;16751;15934,588
20231022;10;17652;17129,388
20231022;11;17817;17881,425
20231022;12;17977;18155,000
20231022;13;18142;18356,425
20231022;14;18234;18516,538
20231022;15;18138;18229,813
20231022;16;17956;17701,388
20231022;17;17898;17415,925
20231022;18;18083;17957,538
20231022;19;18372;18822,113
20231022;20;18300;18947,900
20231022;21;18033;18612,663
20231022;22;17020;17633,713
20231022;23;16154;16724,713
20231022;24;15143;15643,700
20231023;1;14483;14891,263
20231023;2;14137;14575,850
20231023;3;13944;14427,288
20231023;4;14053;14527,000
20231023;5;14868;14983,375
20231023;6;16783;16143,013
20231023;7;20092;19400,888
20231023;8;21783;21195,025
20231023;9;22421;22229,975
20231023;10;22349;22477,175
20231023;11;21861;22347,988
20231023;12;21790;22396,200
20231023;13;21736;22289,788
20231023;14;21767;22023,863
20231023;15;21559;21680,288
20231023;16;21691;21902,075
20231023;17;21859;21918,438
20231023;18;22513;22374,950
20231023;19;23436;23302,788
20231023;20;23440;23413,800
20231023;21;22994;22676,500
20231023;22;21696;21177,775
20231023;23;19693;19495,863
20231023;24;18385;18152,625
20231024;1;17048;17032,663
20231024;2;16291;16460,025
20231024;3;15983;16086,650
20231024;4;16071;15981,163
20231024;5;16660;16351,375
20231024;6;18048;17276,200
20231024;7;21232;20034,788
20231024;8;22303;21686,800
20231024;9;22749;22253,850
20231024;10;22613;22360,225
20231024;11;21810;21984,900
20231024;12;21749;21978,188
20231024;13;21704;21725,513
20231024;14;21774;21905,438
20231024;15;21635;22092,463
20231024;16;21728;22184,963
20231024;17;21789;22066,175
20231024;18;22304;22339,263
20231024;19;23077;22957,738
20231024;20;23016;22866,538
20231024;21;22623;22318,950
20231024;22;21437;20812,088
20231024;23;19508;19226,238
20231024;24;18120;17801,800
20231025;1;17137;16820,525
20231025;2;16451;16351,275
20231025;3;16160;16057,313
20231025;4;16263;16124,563
20231025;5;16863;16412,925
20231025;6;18465;17395,338
20231025;7;21821;20024,300
20231025;8;22831;21899,438
20231025;9;23484;22744,588
20231025;10;23531;23087,538
20231025;11;23773;23096,925
20231025;12;23960;23309,375
20231025;13;24038;23304,463
20231025;14;24143;22869,725
20231025;15;23807;22536,138
20231025;16;23587;22280,625
20231025;17;23334;22368,025
20231025;18;23723;22635,613
20231025;19;23981;23250,888
20231025;20;23987;23262,138
20231025;21;23344;22728,288
20231025;22;22150;21289,288
20231025;23;20208;19569,750
20231025;24;18816;18230,375
20231026;1;17327;17128,113
20231026;2;16624;16540,088
20231026;3;16317;16158,738
20231026;4;16409;16050,600
20231026;5;17004;16452,088
20231026;6;18599;17439,138
20231026;7;21947;20278,725
20231026;8;22842;22226,750
20231026;9;23440;22913,113
20231026;10;23413;23043,713
20231026;11;23596;22587,950
20231026;12;23690;22921,600
20231026;13;23773;22918,463
20231026;14;23901;22946,288
20231026;15;23606;22675,125
20231026;16;23421;22599,300
20231026;17;23198;22550,113
20231026;18;23598;23045,550
20231026;19;23849;23512,425
20231026;20;23849;23477,813
20231026;21;23200;22945,263
20231026;22;22001;21482,850
20231026;23;20053;19783,100
20231026;24;18655;18457,263
20231027;1;17172;17381,625
20231027;2;16479;16771,975
20231027;3;16187;16397,513
20231027;4;16246;16507,375
20231027;5;16854;16811,100
20231027;6;18461;17782,725
20231027;7;21569;20567,225
20231027;8;22519;22352,100
20231027;9;23130;23102,625
20231027;10;23124;23204,300
20231027;11;23328;23076,863
20231027;12;23501;23367,625
20231027;13;23605;23453,350
20231027;14;23730;23426,738
20231027;15;23067;23049,113
20231027;16;22901;22958,075
20231027;17;22727;22916,063
20231027;18;23379;23275,813
20231027;19;23517;23672,438
20231027;20;23512;23508,763
20231027;21;23056;22858,288
20231027;22;21853;21374,275
20231027;23;19954;19686,675
20231027;24;18554;18391,725
20231028;1;16868;17252,013
20231028;2;16171;16661,538
20231028;3;15670;16216,963
20231028;4;15470;16092,750
